CODI_ESTACIO,NOM_ESTACIO,CODI_TIPUS,LATITUD,LONGITUD,Georeferència,EMPLACAMENT,ALTITUD,CODI_MUNICIPI,NOM_MUNICIPI,CODI_COMARCA,NOM_COMARCA,CODI_PROVINCIA,NOM_PROVINCIA,CODI_XARXA,NOM_XARXA,CODI_ESTAT,NOM_ESTAT,DATA_ALTA,DATA_BAIXA,LIMADM_MUNICIPI,LIMADM COMARCA
VY,Nulles,A,41.25095,1.29863,POINT (1.29863 41.25095),Cooperativa agrària,240,12,Nulles,1,Alt Camp,43,Tarragona,1,XEMA,2,Operativa,09/18/2000 12:00:00 AM,,375,30
YB,Olot,A,42.18813,2.47097,POINT (2.47097 42.18813),Pla de Dalt,433,443,Olot,19,Garrotxa,17,Girona,1,XEMA,2,Operativa,07/21/2016 12:00:00 AM,,294,10
X4,Barcelona - el Raval,A,41.3839,2.16775,POINT (2.16775 41.3839),"Facultat de Geografia i Història. c. Montalegre nº6, 6a",33,332,Barcelona,13,Barcelonès,8,Barcelona,1,XEMA,2,Operativa,10/11/2006 12:00:00 AM,,512,29
YG,Tírvia,A,42.51881,1.24244,POINT (1.24244 42.51881),Heliport de Tírvia,954,634,Tírvia,26,Pallars Sobirà,25,Lleida,1,XEMA,2,Operativa,01/11/2018 12:00:00 AM,,335,2
DD,Vilassar de Mar,A,41.51175,2.38674,POINT (2.38674 41.51175),"Soc.Civil d'Aigües ""La Mina Vella",44.5,513,Vilassar de Mar,21,Maresme,8,Barcelona,1,XEMA,1,Desmantellada,05/04/1998 12:00:00 AM,01/16/2015 12:00:00 AM,522,25
YD,les Borges Blanques,A,41.51135,0.85617,POINT (0.85617 41.51135),Escola Agrària de les Borges Blanques,283,416,Les Borges Blanques,18,Garrigues,25,Lleida,1,XEMA,2,Operativa,01/25/2017 12:00:00 AM,,807,27
VD,el Canós,A,41.68939,1.20381,POINT (1.20381 41.68939),Camí de la Figuerosa,429,730,Els Plans de Sió,32,Segarra,25,Lleida,1,XEMA,2,Operativa,10/22/1988 12:00:00 AM,,780,19
WX,Camarasa,A,41.9178,0.88175,POINT (0.88175 41.9178),Camarasa,668,537,Camarasa,23,Noguera,25,Lleida,1,XEMA,2,Operativa,03/07/2006 12:00:00 AM,,113,15
XV,Sant Cugat del Vallès - CAR,A,41.48311,2.07956,POINT (2.07956 41.48311),Centre d'Alt Rendiment,158,895,Sant Cugat del Vallès,40,Vallès Occidental,8,Barcelona,1,XEMA,2,Operativa,08/08/2013 12:00:00 AM,,937,26
U1,Cabanes,A,42.30648,2.95481,POINT (2.95481 42.30648),"Mas St. Feliu, S.A., camí de St. Feli, s/n",31,33,Cabanes,2,Alt Empordà,17,Girona,1,XEMA,2,Operativa,06/11/1991 12:00:00 AM,,248,6
CY,Muntanyola,A,41.87813,2.17873,POINT (2.17873 41.87813),Esglèsia de St. Quirze i Sta. Julita,816,571,Muntanyola,24,Osona,8,Barcelona,1,XEMA,2,Operativa,01/12/1996 12:00:00 AM,,25,13
MW,Navès,A,42.00707,1.65239,POINT (1.65239 42.00707),el Garrigar,545,811,Navès,35,Solsonès,25,Lleida,1,XEMA,1,Desmantellada,03/22/2010 12:00:00 AM,05/27/2011 12:00:00 AM,67,12
D6,Portbou,A,42.43515,3.16622,POINT (3.16622 42.43515),Punta de l'Aucell  (zona fronterera),196,65,Portbou,2,Alt Empordà,17,Girona,1,XEMA,2,Operativa,03/25/1998 12:00:00 AM,,,
D3,Vallirana,A,41.38197,1.93564,POINT (1.93564 41.38197),C. Arquitecte Baldric,252,315,Vallirana,11,Baix Llobregat,8,Barcelona,1,XEMA,2,Operativa,10/28/1995 12:00:00 AM,,813,31
Z1,Bonaigua (2.266 m),A,42.64691,0.98486,POINT (0.98486 42.64691),Port de la Bonaigua,2266,622,Alt Àneu,26,Pallars Sobirà,25,Lleida,1,XEMA,2,Operativa,11/06/1997 12:00:00 AM,,328,2
X1,Falset,A,41.15374,0.81953,POINT (0.81953 41.15374),Abocador comarcal. Crta de Porrera,359,668,Falset,29,Priorat,43,Tarragona,1,XEMA,2,Operativa,12/20/2006 12:00:00 AM,,414,35
VH,Gimenells,A,41.65814,0.39301,POINT (0.39301 41.65814),IRTA - Estació de Gimenells,259,757,Gimenells i el Pla de la Font,33,Segrià,25,Lleida,1,XEMA,2,Operativa,12/10/1996 12:00:00 AM,,553,21
WK,Alfarràs,A,41.81949,0.57768,POINT (0.57768 41.81949),"Escola de Capacitació Agrària d'Alfarràs(de 1997 a 2001, és Almenar)",268,746,Alfarràs,33,Segrià,25,Lleida,1,XEMA,2,Operativa,09/17/1997 12:00:00 AM,,724,21
YL,Riudecanyes,A,41.1227,0.96951,POINT (0.96951 41.1227),els Gorgs,170,229,Riudecanyes,8,Baix Camp,43,Tarragona,1,XEMA,2,Operativa,02/06/2019 12:00:00 AM,,942,39
CT,el Pont de Suert,A,42.39811,0.74362,POINT (0.74362 42.39811),Depuradora municipal,823,138,El Pont de Suert,5,Alta Ribagorça,25,Lleida,1,XEMA,2,Operativa,02/14/1996 12:00:00 AM,,300,3
XR,Prades,A,41.31481,0.98161,POINT (0.98161 41.31481),La Comanda,928,226,Prades,8,Baix Camp,43,Tarragona,1,XEMA,2,Operativa,01/31/2013 12:00:00 AM,,492,39
H1,Òdena,A,41.58642,1.65306,POINT (1.65306 41.58642),Aeròdrom d'Òdena,333,158,Òdena,6,Anoia,8,Barcelona,1,XEMA,2,Operativa,05/31/1999 12:00:00 AM,,742,24
UE,Torroella de Montgrí,A,42.02306,3.15719,POINT (3.15719 42.02306),la Feixa Gata,4,280,Torroella de Montgrí,10,Baix Empordà,17,Girona,1,XEMA,2,Operativa,06/09/1999 12:00:00 AM,,153,16
W4,la Granada,A,41.36619,1.72857,POINT (1.72857 41.36619),Rasa de Sagols,240,98,La Granada,3,Alt Penedès,8,Barcelona,1,XEMA,2,Operativa,12/25/1999 12:00:00 AM,,940,32
X3,Alguaire,A,41.74281,0.5358,POINT (0.5358 41.74281),Aeròdrom,370,748,Alguaire,33,Segrià,25,Lleida,1,XEMA,2,Operativa,06/02/2006 12:00:00 AM,,789,21
US,Alcanar,A,40.55786,0.52329,POINT (0.52329 40.55786),El Mas d'en Serra - Barranc de St. Jaume,24,514,Alcanar,22,Montsià,43,Tarragona,1,XEMA,2,Operativa,05/06/1991 12:00:00 AM,,228,41
CS,Viladrau - centre,A,41.84502,2.3881,POINT (2.3881 41.84502),Mas del Torrent,777,605,Viladrau,24,Osona,17,Girona,1,XEMA,1,Desmantellada,12/05/1995 12:00:00 AM,06/08/2004 12:00:00 AM,652,13
KP,Fogars de la Selva,A,41.73894,2.69436,POINT (2.69436 41.73894),Can Simó,36,786,Fogars de la Selva,34,Selva,17,Girona,1,XEMA,2,Operativa,01/05/1996 12:00:00 AM,,901,20
XD,Ulldemolins,A,41.32,0.8857,POINT (0.8857 41.32),Pigrossos,687,683,Ulldemolins,29,Priorat,43,Tarragona,1,XEMA,2,Operativa,04/17/2008 12:00:00 AM,,668,35
XY,Alcarràs,A,41.56509,0.55027,POINT (0.55027 41.56509),Central del revés,122,744,Alcarràs,33,Segrià,25,Lleida,1,XEMA,2,Operativa,07/31/2013 12:00:00 AM,,759,21
CJ,Organyà,A,42.21624,1.33132,POINT (1.33132 42.21624),Càmping municipal,566.5,130,Organyà,4,Alt Urgell,25,Lleida,1,XEMA,2,Operativa,01/16/1996 12:00:00 AM,,358,5
U9,l'Aldea,A,40.76947,0.61635,POINT (0.61635 40.76947),Barranc del Mas Roig,62,237,L'Aldea,9,Baix Ebre,43,Tarragona,1,XEMA,2,Operativa,06/03/1991 12:00:00 AM,,216,40
D1,Margalef,A,41.28521,0.75383,POINT (0.75383 41.28521),Dipòsit d'aigua,404,674,Margalef,29,Priorat,43,Tarragona,1,XEMA,2,Operativa,01/14/1996 12:00:00 AM,,502,35
XG,Parets del Vallès,A,41.56734,2.22619,POINT (2.22619 41.56734),CEIP Pau Vila,123,930,Parets del Vallès,41,Vallès Oriental,8,Barcelona,1,XEMA,2,Operativa,10/30/2008 12:00:00 AM,,695,22
UF,PN del Garraf - el Rascler,A,41.28832,1.90775,POINT (1.90775 41.28832),El Rascler - Centre de Repetidors Aeroport. Parc Natural del Garraf,573,288,Begues,11,Baix Llobregat,8,Barcelona,1,XEMA,2,Operativa,02/29/1996 12:00:00 AM,,491,31
Z3,Malniu (2.230 m),A,42.46605,1.7785,POINT (1.7785 42.46605),Estany de Malniu,2230,377,Meranges,15,Cerdanya,17,Girona,1,XEMA,2,Operativa,11/03/1999 12:00:00 AM,,299,4
CE,els Hostalets de Pierola,A,41.53109,1.80813,POINT (1.80813 41.53109),Abocador de residus,316,152,Els Hostalets de Pierola,6,Anoia,8,Barcelona,1,XEMA,2,Operativa,03/31/1996 12:00:00 AM,,700,24
CU,Vielha,A,42.69856,0.79397,POINT (0.79397 42.69856),Prat de Tixineret,1002,879,Vielha e Mijaran,39,Val d'Aran,25,Lleida,1,XEMA,2,Operativa,02/15/1996 12:00:00 AM,,326,1
Z4,Ulldeter (2.364 m),A,42.42205,2.2524,POINT (2.2524 42.42205),Ulldeter,2364,715,Setcases,31,Ripollès,17,Girona,1,XEMA,1,Desmantellada,11/08/2000 12:00:00 AM,09/20/2011 12:00:00 AM,393,7
WI,Maials,A,41.35741,0.4809,POINT (0.4809 41.35741),Paratge d'Argelagar,350,761,Maials,33,Segrià,25,Lleida,1,XEMA,2,Operativa,12/20/2000 12:00:00 AM,,848,21
VR,Tornabous - Montargull,A,41.68994,1.04401,POINT (1.04401 41.68994),Masia Mignot,291,868,Tornabous,38,Urgell,25,Lleida,1,XEMA,1,Desmantellada,09/17/1997 12:00:00 AM,08/06/2013 12:00:00 AM,670,17
UW,els Alfacs,A,40.62725,0.65922,POINT (0.65922 40.62725),"IRTA Centre d'Aqüicultura, crta. Poble Nou del Delta, km 5,5",0,521,Sant Carles de la Ràpita,22,Montsià,43,Tarragona,1,XEMA,2,Operativa,07/06/1994 12:00:00 AM,,229,41
CC,Orís,A,42.07398,2.20862,POINT (2.20862 42.07398),Abocador comarcal,626,573,Orís,24,Osona,8,Barcelona,1,XEMA,2,Operativa,11/15/1995 12:00:00 AM,,100,13
W8,Blancafort,A,41.44237,1.15998,POINT (1.15998 41.44237),"Cooperativa vinícola, pl.del Sindicat",438,385,Blancafort,16,Conca de Barberà,43,Tarragona,1,XEMA,2,Operativa,01/18/2000 12:00:00 AM,,581,28
C6,Castellnou de Seana,A,41.6566,0.95172,POINT (0.95172 41.6566),Abocador comarcal,264,650,Castellnou de Seana,27,Pla d'Urgell,25,Lleida,1,XEMA,2,Operativa,12/16/1995 12:00:00 AM,,754,23
WO,la Bisbal del Penedès,A,41.27151,1.46717,POINT (1.46717 41.27151),Fondo de Cal Sumoi,185,321,La Bisbal del Penedès,12,Baix Penedès,43,Tarragona,1,XEMA,2,Operativa,05/16/2002 12:00:00 AM,,253,33
VU,Rellinars,A,41.63286,1.91718,POINT (1.91718 41.63286),Puig de la Ballesta,421,891,Rellinars,40,Vallès Occidental,8,Barcelona,1,XEMA,2,Operativa,02/18/1998 12:00:00 AM,,744,26
WQ,Montsec d'Ares (1.572 m),A,42.0513,0.72952,POINT (0.72952 42.0513),Serra de la Corona - Centre d'Observació de l'Univers,1572,615,Sant Esteve de la Sarga,25,Pallars Jussà,25,Lleida,1,XEMA,2,Operativa,06/17/2003 12:00:00 AM,,101,15
UL,Castelldans,A,41.52911,0.75303,POINT (0.75303 41.52911),"Mas de St. Jaume, crta. de Castelldans a Puigvert",228,418,Castelldans,18,Garrigues,25,Lleida,1,XEMA,1,Desmantellada,09/16/1997 12:00:00 AM,02/21/2017 12:00:00 AM,692,27
XQ,Tremp,A,42.16252,0.88814,POINT (0.88814 42.16252),Conillera de Joncar,473,620,Tremp,25,Pallars Jussà,25,Lleida,1,XEMA,2,Operativa,10/22/2012 12:00:00 AM,,305,9
WB,Albesa,A,41.76036,0.67022,POINT (0.67022 41.76036),"Partida l'Eral, camí del Torricó",267,527,Albesa,23,Noguera,25,Lleida,1,XEMA,2,Operativa,06/21/1999 12:00:00 AM,,768,15
DQ,Vila-rodona,A,41.30728,1.36259,POINT (1.36259 41.30728),Nova estació,287,23,Vila-rodona,1,Alt Camp,43,Tarragona,1,XEMA,2,Operativa,07/29/2005 12:00:00 AM,,506,30
UI,Gisclareny,A,42.26477,1.76218,POINT (1.76218 42.26477),Coll de la Bena - Font del Cabrer,1386,349,Gisclareny,14,Berguedà,8,Barcelona,1,XEMA,2,Operativa,03/12/1999 12:00:00 AM,,187,8
DK,Torredembarra,A,41.14677,1.41846,POINT (1.41846 41.14677),Aiguamolls els Muntanyans,2,836,Torredembarra,36,Tarragonès,43,Tarragona,1,XEMA,2,Operativa,11/24/1999 12:00:00 AM,,519,37
J5,Pantà de Darnius - Boadella,A,42.34215,2.83423,POINT (2.83423 42.34215),Presa del Pantà de Darnius - Boadella,158,40,Darnius,2,Alt Empordà,17,Girona,1,XEMA,2,Operativa,01/05/1996 12:00:00 AM,,379,6
Y9,Port de Barcelona - ZAL Prat,A,41.31723,2.13091,POINT (2.13091 41.31723),Port de Barcelona,4,304,El Prat de Llobregat,11,Baix Llobregat,8,Barcelona,1,XEMA,2,Operativa,06/26/2015 12:00:00 AM,,503,31
WG,Algerri,A,41.80104,0.64804,POINT (0.64804 41.80104),"Comunitat de regants d'Algerri, ctra. d'Albesa, s/n",301,528,Algerri,23,Noguera,25,Lleida,1,XEMA,2,Operativa,12/13/2000 12:00:00 AM,,645,15
UJ,Santa Coloma de Queralt,A,41.52879,1.3683,POINT (1.3683 41.52879),Partida la Cabana,709,396,Santa Coloma de Queralt,16,Conca de Barberà,43,Tarragona,1,XEMA,2,Operativa,11/19/1996 12:00:00 AM,,661,28
MV,Guixers - Valls,A,42.13598,1.67295,POINT (1.67295 42.13598),Cal Teuler,845,807,Guixers,35,Solsonès,25,Lleida,1,XEMA,2,Operativa,06/17/2015 12:00:00 AM,,304,12
VV,Sant Llorenç Savall,A,41.68129,2.02647,POINT (2.02647 41.68129),Masia Can Brossa,528,896,Sant Llorenç Savall,40,Vallès Occidental,8,Barcelona,1,XEMA,2,Operativa,03/25/1998 12:00:00 AM,,628,26
UP,Cabrils,A,41.51773,2.37702,POINT (2.37702 41.51773),"IRTA Cabrils, crta. de Vilassar a Cabrils, s/n",81,489,Cabrils,21,Maresme,8,Barcelona,1,XEMA,2,Operativa,11/27/1995 12:00:00 AM,,712,25
XA,la Panadella,A,41.60257,1.4007,POINT (1.4007 41.60257),La Creu del Vent,785,157,Montmaneu,6,Anoia,8,Barcelona,1,XEMA,2,Operativa,12/18/2008 12:00:00 AM,,903,24
DE,Botarell,A,41.15404,0.99772,POINT (0.99772 41.15404),Planta de compostatge,231,216,Botarell,8,Baix Camp,43,Tarragona,1,XEMA,1,Desmantellada,01/16/1998 12:00:00 AM,01/16/2007 12:00:00 AM,427,39
VC,Pantà de Riba-roja,A,41.24415,0.43266,POINT (0.43266 41.24415),Presa de Riba-roja,69,696,Riba-roja d'Ebre,30,Ribera d'Ebre,43,Tarragona,1,XEMA,2,Operativa,11/18/1996 12:00:00 AM,,497,36
C9,Mas de Barberans,A,40.71825,0.39988,POINT (0.39988 40.71825),Abocador comarcal,240,519,Mas de Barberans,22,Montsià,43,Tarragona,1,XEMA,2,Operativa,04/11/1997 12:00:00 AM,,219,41
AN,Barcelona - Av. Lluís Companys,A,41.39004,2.18091,POINT (2.18091 41.39004),Av. Lluís Companys (Ciutadella),7.5,332,Barcelona,13,Barcelonès,8,Barcelona,1,XEMA,1,Desmantellada,05/11/1992 12:00:00 AM,10/29/2002 12:00:00 AM,512,29
CK,Santa Coloma de Farners,A,41.86472,2.66451,POINT (2.66451 41.86472),Dipòsit d'aigua,163,798,Santa Coloma de Farners,34,Selva,17,Girona,1,XEMA,1,Desmantellada,02/05/1996 12:00:00 AM,06/08/2004 12:00:00 AM,634,20
Y4,Alinyà,A,42.17426,1.42775,POINT (1.42775 42.17426),Tossal de Salamó,1162,126,Fígols i Alinyà,4,Alt Urgell,25,Lleida,1,XEMA,2,Operativa,07/01/2014 12:00:00 AM,,269,5
Z5,Certascan (2.400 m),A,42.70029,1.27201,POINT (1.27201 42.70029),Certascan,2400,629,Lladorre,26,Pallars Sobirà,25,Lleida,1,XEMA,2,Operativa,11/11/2000 12:00:00 AM,,315,2
ZC,Ulldeter (2.410 m),A,42.42117,2.24565,POINT (2.24565 42.42117),Ulldeter,2410,715,Setcases,31,Ripollès,17,Girona,1,XEMA,2,Operativa,09/28/2011 12:00:00 AM,,393,7
CL,Sant Salvador de Guardiola,A,41.67399,1.76796,POINT (1.76796 41.67399),Urbanització Miralda,349,203,Sant Salvador de Guardiola,7,Bages,8,Barcelona,1,XEMA,2,Operativa,02/02/1996 12:00:00 AM,,630,18
DC,Olot - Pla de Baix,A,42.19144,2.48263,POINT (2.48263 42.19144),Heliport Mossos d'Esquadra,421.5,443,Olot,19,Garrotxa,17,Girona,1,XEMA,1,Desmantellada,04/24/1998 12:00:00 AM,07/21/2016 12:00:00 AM,294,10
VW,Caldes de Montbui - Torre Marimon,A,41.61235,2.17099,POINT (2.17099 41.61235),Finca Torre Marimon,164.5,907,Caldes de Montbui,41,Vallès Oriental,8,Barcelona,1,XEMA,1,Desmantellada,12/23/1990 12:00:00 AM,03/08/2007 12:00:00 AM,758,22
XT,Solsona,A,41.98766,1.51165,POINT (1.51165 41.98766),Magatzem Municipal,691,818,Solsona,35,Solsonès,25,Lleida,1,XEMA,2,Operativa,07/12/2012 12:00:00 AM,,132,12
X8,Barcelona - Zona Universitària,A,41.37919,2.1054,POINT (2.1054 41.37919),Pistes UB,79,332,Barcelona,13,Barcelonès,8,Barcelona,1,XEMA,2,Operativa,04/17/2008 12:00:00 AM,,117,29
UN,Cassà de la Selva,A,41.87449,2.92694,POINT (2.92694 41.87449),Finca Mas Bassets,171,462,Cassà de la Selva,20,Gironès,17,Girona,1,XEMA,2,Operativa,03/08/1993 12:00:00 AM,,644,14
