CODI_ESTACIO,NOM_ESTACIO,CODI_TIPUS,LATITUD,LONGITUD,Georeferència,EMPLACAMENT,ALTITUD,CODI_MUNICIPI,NOM_MUNICIPI,CODI_COMARCA,NOM_COMARCA,CODI_PROVINCIA,NOM_PROVINCIA,CODI_XARXA,NOM_XARXA,CODI_ESTAT,NOM_ESTAT,DATA_ALTA,DATA_BAIXA,LIMADM_MUNICIPI,LIMADM COMARCA
VT,Cerdanyola del Vallès,A,41.48401,2.12745,POINT (2.12745 41.48401),Parc Tecnològic del Vallès. Masia Can Fatjó del Molí,84,885,Cerdanyola del Vallès,40,Vallès Occidental,8,Barcelona,1,XEMA,1,Desmantellada,05/15/1998 12:00:00 AM,01/03/2014 12:00:00 AM,570,26
WR,Torroja del Priorat,A,41.2163,0.79748,POINT (0.79748 41.2163),"Ref.cadastral: Pol. 3, parc. 38",300,682,Torroja del Priorat,29,Priorat,43,Tarragona,1,XEMA,2,Operativa,11/27/2003 12:00:00 AM,,521,35
Y5,Navata,A,42.22793,2.86295,POINT (2.86295 42.22793),Can Tries,152,55,Navata,2,Alt Empordà,17,Girona,1,XEMA,2,Operativa,08/26/2014 12:00:00 AM,,359,6
VE,Aitona,A,41.48692,0.46058,POINT (0.46058 41.48692),Camí del canal de Seròs,97,740,Aitona,33,Segrià,25,Lleida,1,XEMA,2,Operativa,03/12/1998 12:00:00 AM,,696,21
UC,Monells,A,41.97726,2.99705,POINT (2.99705 41.97726),Finca Camps i Armet - Escola Capacitació Agrària,60,259,"Cruïlles, Monells i Sant Sadurní de l'Heura",10,Baix Empordà,17,Girona,1,XEMA,2,Operativa,03/04/1998 12:00:00 AM,,29,16
DG,Núria (1.971 m),A,42.39848,2.15517,POINT (2.15517 42.39848),Santuari de Núria,1971.4,710,Queralbs,31,Ripollès,17,Girona,1,XEMA,2,Operativa,05/15/1998 12:00:00 AM,,402,7
XH,Sort,A,42.40533,1.12993,POINT (1.12993 42.40533),Escola de Piragüisme,679,633,Sort,26,Pallars Sobirà,25,Lleida,1,XEMA,2,Operativa,07/31/2009 12:00:00 AM,,334,2
UT,les Cases d'Alcanar,A,40.55219,0.53252,POINT (0.53252 40.55219),Port de les Cases d'Alcanar,3,514,Alcanar,22,Montsià,43,Tarragona,1,XEMA,1,Desmantellada,08/31/1993 12:00:00 AM,11/11/2001 12:00:00 AM,228,41
V5,Perafita,A,42.03947,2.11993,POINT (2.11993 42.03947),Finca la Tria,774,575,Perafita,24,Osona,8,Barcelona,1,XEMA,2,Operativa,07/03/1995 12:00:00 AM,,145,13
CM,Montmeló,A,41.54911,2.24546,POINT (2.24546 41.54911),Torreta de Can Campanyà,75.2,927,Montmeló,41,Vallès Oriental,8,Barcelona,1,XEMA,1,Desmantellada,01/23/1996 12:00:00 AM,03/22/2006 12:00:00 AM,736,22
MS,Castellar de n'Hug - el Clot del Moro,A,42.25978,1.97747,POINT (1.97747 42.25978),Aforament Castellar de n'Hug,938,343,Castellar de n'Hug,14,Berguedà,8,Barcelona,1,XEMA,1,Desmantellada,01/26/2010 12:00:00 AM,06/01/2011 12:00:00 AM,260,8
VN,Vilobí d'Onyar,A,41.88244,2.74262,POINT (2.74262 41.88244),Camps de Can Salvà,117,803,Vilobí d'Onyar,34,Selva,17,Girona,1,XEMA,2,Operativa,11/10/1998 12:00:00 AM,,584,20
C7,Tàrrega,A,41.66695,1.16234,POINT (1.16234 41.66695),Abocador comarcal,427,867,Tàrrega,38,Urgell,25,Lleida,1,XEMA,2,Operativa,11/06/1995 12:00:00 AM,,880,17
DM,Girona - Bombers,A,41.96012,2.80696,POINT (2.80696 41.96012),Parc de Bombers,90,467,Girona,20,Gironès,17,Girona,1,XEMA,1,Desmantellada,05/10/2001 12:00:00 AM,09/15/2010 12:00:00 AM,133,14
YJ,Lleida - la Femosa,A,41.58462,0.64172,POINT (0.64172 41.58462),la Gabarrera,170,760,Lleida,33,Segrià,25,Lleida,1,XEMA,2,Operativa,08/21/2018 12:00:00 AM,,875,21
VZ,Espolla,A,42.38443,3.00736,POINT (3.00736 42.38443),"Llaurants. Ref. Cadastral: Pol. 5, parc.195",83,42,Espolla,2,Alt Empordà,17,Girona,1,XEMA,2,Operativa,06/07/2000 12:00:00 AM,,346,6
WS,Viladrau,A,41.84008,2.41877,POINT (2.41877 41.84008),Mas Vilarmau,953,605,Viladrau,24,Osona,17,Girona,1,XEMA,2,Operativa,03/17/2005 12:00:00 AM,,652,13
U5,Prades - los Hortals,A,41.31349,0.99611,POINT (0.99611 41.31349),Finca los Hortals,969,226,Prades,8,Baix Camp,43,Tarragona,1,XEMA,1,Desmantellada,12/12/1995 12:00:00 AM,01/31/2013 12:00:00 AM,492,39
CP,Sant Romà d'Abella,A,42.13924,1.03893,POINT (1.03893 42.13924),Sant Romà d'Abella - el Tossal,690,611,Isona i Conca Dellà,25,Pallars Jussà,25,Lleida,1,XEMA,2,Operativa,05/20/1996 12:00:00 AM,,110,9
CR,la Quar,A,42.08032,1.9624,POINT (1.9624 42.08032),Sant Maurici,873,358,La Quar,14,Berguedà,8,Barcelona,1,XEMA,2,Operativa,03/13/1996 12:00:00 AM,,66,8
CX,Vic - 1,A,41.93582,2.23857,POINT (2.23857 41.93582),Estadi d'atletisme,497.8,603,Vic,24,Osona,8,Barcelona,1,XEMA,1,Desmantellada,01/18/1996 12:00:00 AM,01/01/2003 12:00:00 AM,912,13
DA,Vila-rodona - Escola,A,41.30839,1.3622,POINT (1.3622 41.30839),Zona de les Escoles Noves,278,23,Vila-rodona,1,Alt Camp,43,Tarragona,1,XEMA,1,Desmantellada,01/23/1998 12:00:00 AM,07/28/2005 12:00:00 AM,506,30
VQ,Constantí,A,41.1713,1.16774,POINT (1.16774 41.1713),IRTA - Centre de Mas Bové. Apt. correus 415,112,821,Constantí,36,Tarragonès,43,Tarragona,1,XEMA,2,Operativa,05/29/1990 12:00:00 AM,,420,37
CI,Sant Pau de Segúries,A,42.25839,2.36429,POINT (2.36429 42.25839),Estació meteorològica municipal,852,714,Sant Pau de Segúries,31,Ripollès,17,Girona,1,XEMA,2,Operativa,11/24/1995 12:00:00 AM,,264,7
U4,Castellnou de Bages,A,41.83094,1.84699,POINT (1.84699 41.83094),Masia Can Vilaseca,507,184,Castellnou de Bages,7,Bages,8,Barcelona,1,XEMA,2,Operativa,01/22/1998 12:00:00 AM,,655,18
MQ,Cardona,A,41.92047,1.69584,POINT (1.69584 41.92047),Boca nord del túnel de desviament del Cardener,402,180,Cardona,7,Bages,8,Barcelona,1,XEMA,2,Operativa,01/16/2003 12:00:00 AM,,140,18
V9,Miralcamp,A,41.61333,0.87608,POINT (0.87608 41.61333),Partida la Boletera,256,655,Miralcamp,27,Pla d'Urgell,25,Lleida,1,XEMA,1,Desmantellada,09/26/1997 12:00:00 AM,02/01/2010 12:00:00 AM,545,23
DB,el Perelló,A,40.87287,0.71581,POINT (0.71581 40.87287),Dipòsit d'aigua,179,246,El Perelló,9,Baix Ebre,43,Tarragona,1,XEMA,2,Operativa,02/05/1998 12:00:00 AM,,136,40
D7,Vinebre,A,41.18499,0.59376,POINT (0.59376 41.18499),Partida de Mallols,53,699,Vinebre,30,Ribera d'Ebre,43,Tarragona,1,XEMA,2,Operativa,01/22/1998 12:00:00 AM,,443,36
WZ,Cunit,A,41.20187,1.63346,POINT (1.63346 41.20187),-,17,324,Cunit,12,Baix Penedès,43,Tarragona,1,XEMA,2,Operativa,06/27/2006 12:00:00 AM,,425,33
VJ,Lleida - Pla de Lleida,A,41.59957,0.6478,POINT (0.6478 41.59957),"C. Pla de Lleida, 10 - Bordeta",161,760,Lleida,33,Segrià,25,Lleida,1,XEMA,1,Desmantellada,09/16/1997 12:00:00 AM,07/24/2013 12:00:00 AM,875,21
WP,Canaletes,A,41.48518,1.69337,POINT (1.69337 41.48518),Camp del Roure - Can Feixes,325,99,Mediona,3,Alt Penedès,8,Barcelona,1,XEMA,2,Operativa,05/17/2002 12:00:00 AM,,945,24
WH,Bellvís,A,41.67342,0.8129,POINT (0.8129 41.67342),"Molí de Balaguer, crta. de Térmens",196,649,Bellvís,27,Pla d'Urgell,25,Lleida,1,XEMA,1,Desmantellada,09/17/1997 12:00:00 AM,11/17/2004 12:00:00 AM,619,23
VF,Alcarràs - Torrent d'Alcarràs,A,41.56482,0.54999,POINT (0.54999 41.56482),Partida Graminella,122,744,Alcarràs,33,Segrià,25,Lleida,1,XEMA,1,Desmantellada,09/17/1997 12:00:00 AM,07/31/2013 12:00:00 AM,759,21
CF,Lloret de Mar,A,41.72346,2.84282,POINT (2.84282 41.72346),Abocador municipal,63.3,788,Lloret de Mar,34,Selva,17,Girona,1,XEMA,1,Desmantellada,02/05/1996 12:00:00 AM,06/16/2003 12:00:00 AM,751,20
W5,Oliana,A,42.07683,1.31489,POINT (1.31489 42.07683),Partida Esclotes,490,129,Oliana,4,Alt Urgell,25,Lleida,1,XEMA,2,Operativa,06/22/2000 12:00:00 AM,,353,5
UA,l'Ametlla de Mar,A,40.9091,0.76943,POINT (0.76943 40.9091),Caseta d'en Butxaca,93,240,L'Ametlla de Mar,9,Baix Ebre,43,Tarragona,1,XEMA,2,Operativa,08/29/1995 12:00:00 AM,,206,40
Y7,Port de Barcelona - Bocana Sud,A,41.31725,2.16537,POINT (2.16537 41.31725),Port de Barcelona,3,304,El Prat de Llobregat,11,Baix Llobregat,8,Barcelona,1,XEMA,2,Operativa,04/08/2015 12:00:00 AM,,503,31
X6,Baldomar,A,41.92173,1.02901,POINT (1.02901 41.92173),Baldomar,366,530,Artesa de Segre,23,Noguera,25,Lleida,1,XEMA,2,Operativa,10/24/2006 12:00:00 AM,,152,15
XE,Tarragona - Complex Educatiu,A,41.10393,1.201,POINT (1.201 41.10393),Complex Educatiu,5,835,Tarragona,36,Tarragonès,43,Tarragona,1,XEMA,2,Operativa,02/05/2009 12:00:00 AM,,230,37
XB,la Llacuna,A,41.4779,1.53529,POINT (1.53529 41.4779),Cal Mateu,584,155,La Llacuna,6,Anoia,8,Barcelona,1,XEMA,2,Operativa,03/19/2008 12:00:00 AM,,938,24
DH,Badalona - Mas Ram,A,41.47638,2.25213,POINT (2.25213 41.47638),Urb. Mas Ram - Escola Pere Vergès,126,331,Badalona,13,Barcelonès,8,Barcelona,1,XEMA,1,Desmantellada,03/23/1998 12:00:00 AM,09/08/2005 12:00:00 AM,531,29
XZ,Torroella de Fluvià,A,42.18139,3.06202,POINT (3.06202 42.18139),,7,79,Torroella de Fluvià,2,Alt Empordà,17,Girona,1,XEMA,2,Operativa,04/08/2014 12:00:00 AM,,281,6
DO,Castell d'Aro,A,41.80857,3.03241,POINT (3.03241 41.80857),Parc de Bombers,14,256,Castell-Platja d'Aro,10,Baix Empordà,17,Girona,1,XEMA,2,Operativa,05/10/2001 12:00:00 AM,,749,16
V8,el Poal,A,41.67279,0.87741,POINT (0.87741 41.67279),"Finca el Molinet, c. Afores, s/n",223,658,El Poal,27,Pla d'Urgell,25,Lleida,1,XEMA,2,Operativa,09/14/1989 12:00:00 AM,,731,23
UB,la Tallada d'Empordà,A,42.05398,3.06195,POINT (3.06195 42.05398),Findació Mas Badia - Canet de la Tallada,15,278,La Tallada d'Empordà,10,Baix Empordà,17,Girona,1,XEMA,2,Operativa,05/01/1989 12:00:00 AM,,91,16
X7,Torres de Segre,A,41.51909,0.55314,POINT (0.55314 41.51909),Torres de Segre,215,774,Torres de Segre,33,Segrià,25,Lleida,1,XEMA,2,Operativa,07/02/2007 12:00:00 AM,,562,21
UK,Sant Pere de Ribes - PN del Garraf,A,41.27861,1.80479,POINT (1.80479 41.27861),Granja escola Can Pere,161,409,Sant Pere de Ribes,17,Garraf,8,Barcelona,1,XEMA,2,Operativa,05/11/1999 12:00:00 AM,,541,34
VB,Benissanet,A,41.06289,0.63517,POINT (0.63517 41.06289),"Grup Fruiter Benissanet, crta. de Mora, s/n",32,687,Benissanet,30,Ribera d'Ebre,43,Tarragona,1,XEMA,2,Operativa,07/14/1993 12:00:00 AM,,159,36
XW,Lleida - la Bordeta,A,41.59822,0.64855,POINT (0.64855 41.59822),Torre de Vallverdú,165,760,Lleida,33,Segrià,25,Lleida,1,XEMA,1,Desmantellada,07/24/2013 12:00:00 AM,10/17/2018 12:00:00 AM,875,21
C8,Cervera,A,41.67555,1.29609,POINT (1.29609 41.67555),Abocador comarcal,554,720,Cervera,32,Segarra,25,Lleida,1,XEMA,2,Operativa,10/27/1995 12:00:00 AM,,900,19
WA,Oliola,A,41.87694,1.1541,POINT (1.1541 41.87694),Partida l'Era,443,544,Oliola,23,Noguera,25,Lleida,1,XEMA,2,Operativa,03/26/2001 12:00:00 AM,,913,15
YK,Terrassa,A,41.55361,1.99005,POINT (1.99005 41.55361),Can Poal,313,900,Terrassa,40,Vallès Occidental,8,Barcelona,1,XEMA,2,Operativa,12/20/2018 12:00:00 AM,,862,26
Z9,Cadí Nord (2.143 m) - Prat d'Aguiló,A,42.29265,1.71498,POINT (1.71498 42.29265),Cadí Nord - Prat d'Aguiló,2143,378,Montellà i Martinet,15,Cerdanya,25,Lleida,1,XEMA,2,Operativa,11/06/2003 12:00:00 AM,,433,4
VX,Tagamanent - PN del Montseny,A,41.74761,2.30291,POINT (2.30291 41.74761),Can Bellver - Serrat de Bellver. Parc Natural del Montseny,1030,942,Tagamanent,41,Vallès Oriental,8,Barcelona,1,XEMA,2,Operativa,01/04/1996 12:00:00 AM,,818,22
WV,Guardiola de Berguedà,A,42.23414,1.87485,POINT (1.87485 42.23414),Monestir de Sant Llorenç prop Bagà,788,351,Guardiola de Berguedà,14,Berguedà,8,Barcelona,1,XEMA,2,Operativa,11/28/2005 12:00:00 AM,,181,8
U2,Sant Pere Pescador,A,42.17716,3.0968,POINT (3.0968 42.17716),"Mas Blanc, Mas Fages 17",4,73,Sant Pere Pescador,2,Alt Empordà,17,Girona,1,XEMA,2,Operativa,05/01/1989 12:00:00 AM,,278,6
W6,Riudoms,A,41.13738,1.0187,POINT (1.0187 41.13738),Mas d'en Domènec,158,231,Riudoms,8,Baix Camp,43,Tarragona,1,XEMA,1,Desmantellada,10/19/1999 12:00:00 AM,02/06/2019 12:00:00 AM,427,39
WF,Vilablareix,A,41.95425,2.77578,POINT (2.77578 41.95425),Mas Saüch,108,482,Vilablareix,20,Gironès,17,Girona,1,XEMA,1,Desmantellada,04/11/2001 12:00:00 AM,10/01/2015 12:00:00 AM,894,14
D8,Horta de Sant Joan,A,40.95134,0.30565,POINT (0.30565 40.95134),Les Forques,515,847,Horta de Sant Joan,37,Terra Alta,43,Tarragona,1,XEMA,2,Operativa,01/28/1998 12:00:00 AM,,167,38
UR,Malgrat de Mar - Cooperativa,A,41.64908,2.75209,POINT (2.75209 41.64908),"Cooperativa Garbí, camí del Pla, s/n. Apt. correus 80",2,494,Malgrat de Mar,21,Maresme,8,Barcelona,1,XEMA,1,Desmantellada,01/09/1990 12:00:00 AM,05/04/2005 12:00:00 AM,800,25
ZB,Salòria (2.451 m),A,42.51939,1.36597,POINT (1.36597 42.51939),Salòria,2451,621,Alins,26,Pallars Sobirà,25,Lleida,1,XEMA,2,Operativa,09/30/2004 12:00:00 AM,,317,2
WL,Sant Martí de Riucorb,A,41.57236,1.0882,POINT (1.0882 41.57236),"Camí de les Comes, pol. 2, parc. 137",413,866,Sant Martí de Riucorb,38,Urgell,25,Lleida,1,XEMA,2,Operativa,02/05/2002 12:00:00 AM,,599,17
W9,la Vall d'en Bas,A,42.14557,2.45451,POINT (2.45451 42.14557),Escola Verntallat,461,456,La Vall d'en Bas,19,Garrotxa,17,Girona,1,XEMA,2,Operativa,03/16/2000 12:00:00 AM,,307,10
WU,Badalona - Museu,A,41.45215,2.24757,POINT (2.24757 41.45215),Museu,42,331,Badalona,13,Barcelonès,8,Barcelona,1,XEMA,2,Operativa,09/21/2005 12:00:00 AM,,531,29
CZ,Ulldemolins - Zona Esportiva,A,41.3191,0.87868,POINT (0.87868 41.3191),Poliesportiu municipal,631,683,Ulldemolins,29,Priorat,43,Tarragona,1,XEMA,1,Desmantellada,03/04/1996 12:00:00 AM,04/15/2008 12:00:00 AM,668,35
VO,Lladurs,A,42.08745,1.42792,POINT (1.42792 42.08745),Masia el Pla - Montpol,785,808,Lladurs,35,Solsonès,25,Lleida,1,XEMA,2,Operativa,05/05/1998 12:00:00 AM,,81,12
UV,Mas de Barberans - Mitanplana,A,40.71727,0.41633,POINT (0.41633 40.71727),Finca del Sifonero,205,519,Mas de Barberans,22,Montsià,43,Tarragona,1,XEMA,1,Desmantellada,11/17/1992 12:00:00 AM,01/03/2011 12:00:00 AM,219,41
XO,Vic,A,41.93497,2.23987,POINT (2.23987 41.93497),Vic,499,603,Vic,24,Osona,8,Barcelona,1,XEMA,2,Operativa,12/22/2011 12:00:00 AM,,912,13
XC,Castellbisbal,A,41.47892,1.97546,POINT (1.97546 41.47892),Turó de la Verdalaga,147,884,Castellbisbal,40,Vallès Occidental,8,Barcelona,1,XEMA,2,Operativa,03/18/2008 12:00:00 AM,,946,26
CV,la Pobla de Segur - Bombers,A,42.23939,0.96434,POINT (0.96434 42.23939),Parc de Bombers,513.3,613,La Pobla de Segur,25,Pallars Jussà,25,Lleida,1,XEMA,1,Desmantellada,12/22/1995 12:00:00 AM,11/18/2016 12:00:00 AM,249,9
XK,Puig Sesolles (1.668 m),A,41.77362,2.43774,POINT (2.43774 41.77362),Puig Sesolles (Massís del Montseny),1668,915,Fogars de Montclús,41,Vallès Oriental,8,Barcelona,1,XEMA,2,Operativa,09/22/2010 12:00:00 AM,,786,22
W2,Torroella de Fluvià,A,42.18259,3.05783,POINT (3.05783 42.18259),Camp de Pla d'Avall - Camp de la Creu,7,79,Torroella de Fluvià,2,Alt Empordà,17,Girona,1,XEMA,1,Desmantellada,03/14/2000 12:00:00 AM,04/08/2014 12:00:00 AM,281,6
ZD,la Tosa d'Alp 2500,A,42.32211,1.89716,POINT (1.89716 42.32211),Tosa d'Alp,2478,367,Alp,15,Cerdanya,17,Girona,1,XEMA,2,Operativa,09/04/2014 12:00:00 AM,,251,8
CB,les Llosses,A,42.15085,2.19914,POINT (2.19914 42.15085),Abocador comarcal,700,705,Les Llosses,31,Ripollès,17,Girona,1,XEMA,1,Desmantellada,11/30/1995 12:00:00 AM,06/02/2003 12:00:00 AM,65,7
WW,Artés,A,41.79423,1.9368,POINT (1.9368 41.79423),Artés,278,175,Artés,7,Bages,8,Barcelona,1,XEMA,2,Operativa,02/16/2006 12:00:00 AM,,766,18
Y6,Tivissa,A,41.04343,0.74032,POINT (0.74032 41.04343),-,317,697,Tivissa,30,Ribera d'Ebre,43,Tarragona,1,XEMA,2,Operativa,03/26/2015 12:00:00 AM,,156,36
WD,Batea,A,41.08671,0.31884,POINT (0.31884 41.08671),Clos Cóssos,382,841,Batea,37,Terra Alta,43,Tarragona,1,XEMA,2,Operativa,12/23/1999 12:00:00 AM,,426,38
