CODI_ESTACIO,NOM_ESTACIO,CODI_TIPUS,LATITUD,LONGITUD,Georeferència,EMPLACAMENT,ALTITUD,CODI_MUNICIPI,NOM_MUNICIPI,CODI_COMARCA,NOM_COMARCA,CODI_PROVINCIA,NOM_PROVINCIA,CODI_XARXA,NOM_XARXA,CODI_ESTAT,NOM_ESTAT,DATA_ALTA,DATA_BAIXA,LIMADM_MUNICIPI,LIMADM COMARCA
CQ,Vilanova de Meià,A,41.99546,1.02569,POINT (1.02569 41.99546),Camp de fútbol,594,555,Vilanova de Meià,23,Noguera,25,Lleida,1,XEMA,2,Operativa,04/01/1996 12:00:00 AM,,122,15
V7,Embassament de Sau,A,41.97554,2.39837,POINT (2.39837 41.97554),Embassament de Sau. Club Nàutic.,435,606,Vilanova de Sau,24,Osona,8,Barcelona,1,XEMA,1,Desmantellada,05/20/1997 12:00:00 AM,05/02/2006 12:00:00 AM,19,13
XS,Santa Coloma de Farners,A,41.86489,2.66446,POINT (2.66446 41.86489),Dipòsit d'aigua,162,798,Santa Coloma de Farners,34,Selva,17,Girona,1,XEMA,2,Operativa,03/26/2013 12:00:00 AM,,634,20
XI,Mollerussa,A,41.61817,0.87182,POINT (0.87182 41.61817),-,247,656,Mollerussa,27,Pla d'Urgell,25,Lleida,1,XEMA,2,Operativa,01/20/2010 12:00:00 AM,,543,23
U8,Punta del Fangar,A,40.78653,0.74264,POINT (0.74264 40.78653),Punta del Fangar,0,244,Deltebre,9,Baix Ebre,43,Tarragona,1,XEMA,1,Desmantellada,04/30/1992 12:00:00 AM,02/19/2009 12:00:00 AM,217,40
UH,el Montmell,A,41.34171,1.48769,POINT (1.48769 41.34171),Finca Vallflor - Aigua Viva,545,327,El Montmell,12,Baix Penedès,43,Tarragona,1,XEMA,2,Operativa,07/13/1995 12:00:00 AM,,835,33
WY,Sant Sadurní d'Anoia,A,41.43386,1.79429,POINT (1.79429 41.43386),-,164,111,Sant Sadurní d'Anoia,3,Alt Penedès,8,Barcelona,1,XEMA,2,Operativa,04/11/2006 12:00:00 AM,,918,32
MR,Pantà de Siurana,A,41.25079,0.9106,POINT (0.9106 41.25079),Pantà de Siurana - Xalet del Pantà,500,667,Cornudella de Montsant,29,Priorat,43,Tarragona,1,XEMA,2,Operativa,11/08/2010 12:00:00 AM,,508,35
UO,Fornells de la Selva,A,41.91461,2.82069,POINT (2.82069 41.91461),La Torre de Reset,97,466,Fornells de la Selva,20,Gironès,17,Girona,1,XEMA,2,Operativa,11/10/1998 12:00:00 AM,,919,14
UD,Serra de Daró,A,42.02895,3.06227,POINT (3.06227 42.02895),Camí de la Barceloneta - St. Iscle d'Empordà,12,277,Serra de Daró,10,Baix Empordà,17,Girona,1,XEMA,1,Desmantellada,06/09/1999 12:00:00 AM,06/01/2013 12:00:00 AM,123,16
X2,Barcelona - Zoo,A,41.38943,2.18847,POINT (2.18847 41.38943),Zoo,7,332,Barcelona,13,Barcelonès,8,Barcelona,1,XEMA,2,Operativa,09/22/2006 12:00:00 AM,,512,29
VP,Pinós,A,41.80483,1.53853,POINT (1.53853 41.80483),Masia Can Caselles,659,815,Pinós,35,Solsonès,25,Lleida,1,XEMA,2,Operativa,07/03/1995 12:00:00 AM,,587,12
CO,Torres de Segre - Depuradora,A,41.52603,0.52711,POINT (0.52711 41.52603),Depuradora municipal,143.6,774,Torres de Segre,33,Segrià,25,Lleida,1,XEMA,1,Desmantellada,11/23/1995 12:00:00 AM,05/25/2006 12:00:00 AM,562,21
VK,Raimat,A,41.68328,0.4487,POINT (0.4487 41.68328),Finca Montserrat - Raimat,286,760,Lleida,33,Segrià,25,Lleida,1,XEMA,2,Operativa,08/31/1988 12:00:00 AM,,875,21
U3,Sant Martí Sarroca,A,41.37491,1.63032,POINT (1.63032 41.37491),Mas Rabell de Fontenac,257,108,Sant Martí Sarroca,3,Alt Penedès,8,Barcelona,1,XEMA,2,Operativa,05/24/1997 12:00:00 AM,,846,32
V4,Montesquiu,A,42.11477,2.21483,POINT (2.21483 42.11477),Castell de Montesquiu,684,570,Montesquiu,24,Osona,8,Barcelona,1,XEMA,2,Operativa,12/02/1998 12:00:00 AM,,68,13
WN,Montserrat - Sant Dimes,A,41.59539,1.83751,POINT (1.83751 41.59539),Ermita de Sant Dimes,916,192,Monistrol de Montserrat,7,Bages,8,Barcelona,1,XEMA,2,Operativa,01/02/2003 12:00:00 AM,,478,18
WJ,el Masroig,A,41.1223,0.72182,POINT (0.72182 41.1223),Finca Terranova,141,675,El Masroig,29,Priorat,43,Tarragona,1,XEMA,2,Operativa,06/20/2000 12:00:00 AM,,520,35
W3,Ventalló,A,42.15006,3.06494,POINT (3.06494 42.15006),el Camp Lletget - Mare de Déu de l'Om - Montiró,4,81,Ventalló,2,Alt Empordà,17,Girona,1,XEMA,1,Desmantellada,03/14/2000 12:00:00 AM,01/12/2015 12:00:00 AM,311,6
CN,Guardiola de Berguedà - Escola,A,42.22903,1.87672,POINT (1.87672 42.22903),Centre d'Assistència Primària,719.8,351,Guardiola de Berguedà,14,Berguedà,8,Barcelona,1,XEMA,1,Desmantellada,02/20/1996 12:00:00 AM,03/21/2005 12:00:00 AM,181,8
XM,els Alamús,A,41.59522,0.73507,POINT (0.73507 41.59522),-,235,741,Els Alamús,33,Segrià,25,Lleida,1,XEMA,2,Operativa,06/22/2011 12:00:00 AM,,860,21
DJ,Banyoles,A,42.11653,2.78969,POINT (2.78969 42.11653),Abocador comarcal de Puigpalter,176,636,Banyoles,28,Pla de l'Estany,17,Girona,1,XEMA,2,Operativa,10/11/1999 12:00:00 AM,,57,11
U7,Aldover,A,40.85936,0.50525,POINT (0.50525 40.85936),Granges de Fabra,52,238,Aldover,9,Baix Ebre,43,Tarragona,1,XEMA,2,Operativa,12/31/1994 12:00:00 AM,,209,40
WE,Vilanova del Vallès,A,41.5444,2.30014,POINT (2.30014 41.5444),Mas Casa Alta,126,946,Vilanova del Vallès,41,Vallès Oriental,8,Barcelona,1,XEMA,2,Operativa,07/05/2000 12:00:00 AM,,702,22
WT,Malgrat de Mar,A,41.64707,2.75658,POINT (2.75658 41.64707),Camí de la Pomereda,2,494,Malgrat de Mar,21,Maresme,8,Barcelona,1,XEMA,2,Operativa,05/04/2005 12:00:00 AM,,800,25
XU,Canyelles,A,41.28801,1.72195,POINT (1.72195 41.28801),Cementiri,148,406,Canyelles,17,Garraf,8,Barcelona,1,XEMA,2,Operativa,07/16/2013 12:00:00 AM,,538,34
Z8,el Port del Comte (2.316 m),A,42.18254,1.52407,POINT (1.52407 42.18254),Port del Comte,2316,806,La Coma i la Pedra,35,Solsonès,25,Lleida,1,XEMA,2,Operativa,10/03/2002 12:00:00 AM,,277,12
D2,Vacarisses,A,41.59252,1.915,POINT (1.915 41.59252),Planta potabilitzadora,343,902,Vacarisses,40,Vallès Occidental,8,Barcelona,1,XEMA,2,Operativa,02/15/1996 12:00:00 AM,,861,26
UU,Amposta,A,40.70776,0.6321,POINT (0.6321 40.70776),"IRTA - Estació Exp. Ebre, ctra. de Balada, s/n",3,515,Amposta,22,Montsià,43,Tarragona,1,XEMA,2,Operativa,02/06/1992 12:00:00 AM,,227,41
YF,Mont-roig del Camp,A,41.02001,0.93474,POINT (0.93474 41.02001),Plana dels Penyals,42,225,Mont-roig del Camp,8,Baix Camp,43,Tarragona,1,XEMA,2,Operativa,12/20/2017 12:00:00 AM,,155,39
YH,Pujalt,A,41.71734,1.42403,POINT (1.42403 41.71734),Observatori de Pujalt,747,163,Pujalt,6,Anoia,8,Barcelona,1,XEMA,2,Operativa,04/06/2018 12:00:00 AM,,902,24
VA,Ascó,A,41.19645,0.51161,POINT (0.51161 41.19645),Camí de la Serra de les Moncas,257,686,Ascó,30,Ribera d'Ebre,43,Tarragona,1,XEMA,2,Operativa,06/15/1998 12:00:00 AM,,462,36
XN,Seròs,A,41.46379,0.42765,POINT (0.42765 41.46379),EDAR Aitona-Seròs,89,768,Seròs,33,Segrià,25,Lleida,1,XEMA,2,Operativa,12/15/2011 12:00:00 AM,,566,21
UG,Viladecans,A,41.29928,2.03787,POINT (2.03787 41.29928),"Planters Gusi, ctra. antiga de València, km 14",3,316,Viladecans,11,Baix Llobregat,8,Barcelona,1,XEMA,2,Operativa,04/29/1993 12:00:00 AM,,511,31
V1,Vallfogona de Balaguer,A,41.78487,0.82939,POINT (0.82939 41.78487),Escola de Cap. Agrària - Finca l'Empalme,238,553,Vallfogona de Balaguer,23,Noguera,25,Lleida,1,XEMA,2,Operativa,10/17/1990 12:00:00 AM,,767,15
YE,Massoteres,A,41.79409,1.305756,POINT (1.305756 41.79409),la Creu de Massoteres,513,726,Massoteres,32,Segarra,25,Lleida,1,XEMA,2,Operativa,05/17/2017 12:00:00 AM,,688,19
Z7,Espot (2.519 m),A,42.53412,1.05476,POINT (1.05476 42.53412),Espot,2519,624,Espot,26,Pallars Sobirà,25,Lleida,1,XEMA,2,Operativa,03/01/2002 12:00:00 AM,,323,2
Z2,Boí (2.535 m),A,42.46602,0.88405,POINT (0.88405 42.46602),Vall de Boí,2535,139,La Vall de Boí,5,Alta Ribagorça,25,Lleida,1,XEMA,2,Operativa,11/13/1998 12:00:00 AM,,321,3
D4,Roses,A,42.27065,3.18165,POINT (3.18165 42.27065),Poliesportiu Municipal,24,68,Roses,2,Alt Empordà,17,Girona,1,XEMA,2,Operativa,02/07/1996 12:00:00 AM,,363,6
WM,Santuari de Queralt,A,42.10736,1.8267,POINT (1.8267 42.10736),Santuari de la Mare de Déu de Queralt,1167,338,Berga,14,Berguedà,8,Barcelona,1,XEMA,2,Operativa,01/23/2002 12:00:00 AM,,73,8
UY,Os de Balaguer - el Monestir d'Avellanes,A,41.87912,0.76103,POINT (0.76103 41.87912),Quatre Vents - Monestir de les Avellanes,576,545,Os de Balaguer,23,Noguera,25,Lleida,1,XEMA,2,Operativa,07/07/1995 12:00:00 AM,,725,15
XL,el Prat de Llobregat,A,41.34045,2.08022,POINT (2.08022 41.34045),Camí de la Ribera s/n,8,304,El Prat de Llobregat,11,Baix Llobregat,8,Barcelona,1,XEMA,2,Operativa,03/22/2011 12:00:00 AM,,503,31
XP,Gandesa,A,41.06581,0.43006,POINT (0.43006 41.06581),IRTA UETA Gandesa,349,846,Gandesa,37,Terra Alta,43,Tarragona,1,XEMA,2,Operativa,11/30/2011 12:00:00 AM,,205,38
YA,Puigcerdà,A,42.44013,1.93482,POINT (1.93482 42.44013),Poliesportiu municipal,1213,381,Puigcerdà,15,Cerdanya,17,Girona,1,XEMA,2,Operativa,03/22/2016 12:00:00 AM,,348,4
VS,Lac Redon (2.247 m),A,42.63835,0.77889,POINT (0.77889 42.63835),Lac Redon - Tuc deth Pòrt de Vielha,2247,879,Vielha e Mijaran,39,Val d'Aran,25,Lleida,1,XEMA,2,Operativa,07/15/1999 12:00:00 AM,,326,1
CH,Falset - Escola,A,41.15076,0.82357,POINT (0.82357 41.15076),Col·legi Públic Antoni Vilanova,350,668,Falset,29,Priorat,43,Tarragona,1,XEMA,1,Desmantellada,12/01/1995 12:00:00 AM,07/05/2005 12:00:00 AM,414,35
U6,Vinyols i els Arcs,A,41.08017,1.06661,POINT (1.06661 41.08017),Casa Sant Josep - Escola la Salle,29,236,Vinyols i els Arcs,8,Baix Camp,43,Tarragona,1,XEMA,2,Operativa,05/17/1989 12:00:00 AM,,185,39
M6,Sant Joan de les Abadesses,A,42.22189,2.2427,POINT (2.2427 42.22189),Agrupació Esportiva del Ripollès,730,713,Sant Joan de les Abadesses,31,Ripollès,17,Girona,1,XEMA,2,Operativa,01/13/1996 12:00:00 AM,,257,7
WC,Golmés,A,41.63642,0.92446,POINT (0.92446 41.63642),Partida Fogones,261,652,Golmés,27,Pla d'Urgell,25,Lleida,1,XEMA,2,Operativa,08/08/2000 12:00:00 AM,,798,23
R1,el Pont de Vilomara,A,41.70637,1.87276,POINT (1.87276 41.70637),Planta de reciclatge de piles i fluorescents,210,196,El Pont de Vilomara i Rocafort,7,Bages,8,Barcelona,1,XEMA,2,Operativa,03/02/2000 12:00:00 AM,,613,18
DF,la Bisbal d'Empordà,A,41.97751,3.03543,POINT (3.03543 41.97751),Estació depuradora,28.6,254,La Bisbal d'Empordà,10,Baix Empordà,17,Girona,1,XEMA,2,Operativa,03/25/1998 12:00:00 AM,,28,16
VI,Lleida,A,41.62918,0.59622,POINT (0.59622 41.62918),Av. Alcalde Rovira Roure,190,760,Lleida,33,Segrià,25,Lleida,1,XEMA,1,Desmantellada,03/30/1990 12:00:00 AM,06/15/2000 12:00:00 AM,875,21
VM,Vilanova de Segrià,A,41.7145,0.62839,POINT (0.62839 41.7145),Partida lo Sort,222,777,Vilanova de Segrià,33,Segrià,25,Lleida,1,XEMA,2,Operativa,09/17/1997 12:00:00 AM,,899,21
CD,la Seu d'Urgell - Bellestar,A,42.37083,1.43277,POINT (1.43277 42.37083),Abocador comarcal,849,134,La Seu d'Urgell,4,Alt Urgell,25,Lleida,1,XEMA,2,Operativa,01/16/1996 12:00:00 AM,,252,5
XX,Tornabous,A,41.68835,1.04476,POINT (1.04476 41.68835),Masia Mingot,291,868,Tornabous,38,Urgell,25,Lleida,1,XEMA,2,Operativa,08/06/2013 12:00:00 AM,,670,17
DL,Illa de Buda,A,40.70719,0.83449,POINT (0.83449 40.70719),Mas de Buda,0.5,522,Sant Jaume d'Enveja,22,Montsià,43,Tarragona,1,XEMA,2,Operativa,07/14/1999 12:00:00 AM,,222,41
W1,Castelló d'Empúries,A,42.24726,3.09021,POINT (3.09021 42.24726),Can Garriga - Mas Bellesguard,2,37,Castelló d'Empúries,2,Alt Empordà,17,Girona,1,XEMA,2,Operativa,03/14/2000 12:00:00 AM,,266,6
V3,Gurb,A,41.95224,2.23271,POINT (2.23271 41.95224),Masia Can Borra,509,564,Gurb,24,Osona,8,Barcelona,1,XEMA,2,Operativa,03/31/1999 12:00:00 AM,,9,13
YC,la Pobla de Segur,A,42.24388,0.96802,POINT (0.96802 42.24388),Horta de les Feixes,508,613,La Pobla de Segur,25,Pallars Jussà,25,Lleida,1,XEMA,2,Operativa,11/18/2016 12:00:00 AM,,249,9
DP,Das - Aeròdrom,A,42.38605,1.8664,POINT (1.8664 42.38605),Aeròdrom de la Cerdanya,1097,370,Das,15,Cerdanya,17,Girona,1,XEMA,2,Operativa,05/22/2001 12:00:00 AM,,381,4
DN,Anglès,A,41.96095,2.63108,POINT (2.63108 41.96095),Poliesportiu municipal,150,779,Anglès,34,Selva,17,Girona,1,XEMA,2,Operativa,05/10/2001 12:00:00 AM,,896,20
XJ,Girona,A,41.98223,2.80686,POINT (2.80686 41.98223),Horts de Santa Eugènia,72,467,Girona,20,Gironès,17,Girona,1,XEMA,2,Operativa,09/15/2010 12:00:00 AM,,133,14
KE,Pantà de Sau,A,41.96867,2.41404,POINT (2.41404 41.96867),Central hidroelèctrica de Sau,426,606,Vilanova de Sau,24,Osona,8,Barcelona,1,XEMA,2,Operativa,01/05/1996 12:00:00 AM,,19,13
X5,PN dels Ports,A,40.79705,0.31822,POINT (0.31822 40.79705),Montpublic 21 sector Cova Avellanes,1055,247,Roquetes,9,Baix Ebre,43,Tarragona,1,XEMA,2,Operativa,01/04/2007 12:00:00 AM,,210,40
DI,Font-rubí,A,41.43292,1.62386,POINT (1.62386 41.43292),Masia Ca l'Amàlia - Montjuic,415,96,Font-rubí,3,Alt Penedès,8,Barcelona,1,XEMA,2,Operativa,07/16/1998 12:00:00 AM,,719,32
CG,Molló - Fabert,A,42.37717,2.41456,POINT (2.41456 42.37717),Veïnat de Fabert,1405,706,Molló,31,Ripollès,17,Girona,1,XEMA,2,Operativa,06/06/1996 12:00:00 AM,,378,7
CA,Clariana de Cardener,A,41.95378,1.5851,POINT (1.5851 41.95378),Abocador comarcal,693,805,Clariana de Cardener,35,Solsonès,25,Lleida,1,XEMA,1,Desmantellada,05/02/1996 12:00:00 AM,07/10/2012 12:00:00 AM,16,12
D5,Barcelona - Observatori Fabra,A,41.41843,2.12388,POINT (2.12388 41.41843),Observatori Fabra,411.2,332,Barcelona,13,Barcelonès,8,Barcelona,1,XEMA,2,Operativa,11/03/1995 12:00:00 AM,,512,29
D9,el Vendrell,A,41.21553,1.52121,POINT (1.52121 41.21553),Instal·lacions esportives municipals,59,330,El Vendrell,12,Baix Penedès,43,Tarragona,1,XEMA,2,Operativa,06/11/1999 12:00:00 AM,,456,33
VL,Seròs - la Creu,A,41.46014,0.40562,POINT (0.40562 41.46014),Crta. de Seròs a la Granja d'Escarp,100,768,Seròs,33,Segrià,25,Lleida,1,XEMA,1,Desmantellada,01/05/1998 12:00:00 AM,12/15/2011 12:00:00 AM,566,21
UM,la Granadella,A,41.35991,0.66789,POINT (0.66789 41.35991),Horts de la Vall Major,505,424,La Granadella,18,Garrigues,25,Lleida,1,XEMA,2,Operativa,01/30/1992 12:00:00 AM,,782,27
UX,Ulldecona - els Valentins,A,40.62652,0.37112,POINT (0.37112 40.62652),Comunitat de regants del Pou Valentins,210,525,Ulldecona,22,Montsià,43,Tarragona,1,XEMA,2,Operativa,11/15/1990 12:00:00 AM,,225,41
KX,la Roca del Vallès - ETAP Cardedeu,A,41.61865,2.36114,POINT (2.36114 41.61865),Planta tractament d'Aigües Ter - Llobregat,156,931,La Roca del Vallès,41,Vallès Oriental,8,Barcelona,1,XEMA,2,Operativa,01/05/1996 12:00:00 AM,,939,22
V6,Viladrau - Aigües de Viladrau,A,41.84256,2.42636,POINT (2.42636 41.84256),"Camí vell de Viladrau, s/n",871,605,Viladrau,24,Osona,8,Barcelona,1,XEMA,1,Desmantellada,10/03/1995 12:00:00 AM,03/29/2005 12:00:00 AM,730,20
CW,l'Espluga de Francolí,A,41.39241,1.09894,POINT (1.09894 41.39241),Urb. Espluga Parc,446,387,L'Espluga de Francolí,16,Conca de Barberà,43,Tarragona,1,XEMA,2,Operativa,02/23/1996 12:00:00 AM,,532,28
Z6,Sasseuva (2.228 m),A,42.77011,0.73198,POINT (0.73198 42.77011),Sasseuva,2228,872,Arres,39,Val d'Aran,25,Lleida,1,XEMA,2,Operativa,09/20/2001 12:00:00 AM,,310,1
XF,Sabadell - Parc Agrari,A,41.56568,2.06952,POINT (2.06952 41.56568),Parc Agrari,258,894,Sabadell,40,Vallès Occidental,8,Barcelona,1,XEMA,2,Operativa,10/23/2008 12:00:00 AM,,660,26
X9,Caldes de Montbui,A,41.61265,2.16836,POINT (2.16836 41.61265),Torre Marimon,176,907,Caldes de Montbui,41,Vallès Oriental,8,Barcelona,1,XEMA,2,Operativa,03/08/2007 12:00:00 AM,,758,22
UQ,Dosrius - PN Montnegre Corredor,A,41.61991,2.44532,POINT (2.44532 41.61991),Parc Natural del Corredor. Masia Can Bosc,460,493,Dosrius,21,Maresme,8,Barcelona,1,XEMA,2,Operativa,08/09/1996 12:00:00 AM,,477,25
